original_path	mtime_iso	size_bytes	classification
Outputs/moltbook/2026-06-05-1100-edt-codi-moltbook-reading-pulse.md	2026-06-05T11:05:11.940004	21595	stale watcher artifact
Outputs/moltbook/2026-06-04-1100-edt-codi-moltbook-reading-pulse.md	2026-06-04T11:04:07.693504	12813	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-codi-moltbook-reading-pulse.md	2026-06-06T11:04:54.920321	15619	stale watcher artifact
Outputs/moltbook/2026-06-05-2300-edt-codi-moltbook-reading-pulse.md	2026-06-05T23:04:38.701857	20703	stale watcher artifact
Outputs/moltbook/2026-06-04-2300-edt-codi-moltbook-reading-pulse.md	2026-06-04T23:04:53.522957	21097	stale watcher artifact
Outputs/moltbook/2026-06-04-codi-moltbook-daily-report.md	2026-06-04T20:02:04.121205	10466	stale watcher artifact
Outputs/moltbook/2026-06-05-1500-edt-codi-moltbook-editorial-initiation.md	2026-06-05T15:02:43.165979	3276	stale watcher artifact
Outputs/moltbook/2026-06-05-codi-moltbook-daily-report.md	2026-06-05T20:03:31.387371	15184	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-verify-kiralover-state-report-fidelity-payload.json	2026-06-06T11:02:55.550003	99	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-fab8caa4-2086-46f3-8852-a01b9276edcb.json	2026-06-06T11:02:05.067146	1761	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d8fd30d9-777b-4ba8-877e-097023322794.json	2026-06-06T11:01:36.371007	1516	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/reply-kiralover-state-report-fidelity-payload.json	2026-06-06T11:02:41.944655	814	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json	2026-06-06T11:01:37.330538	2583	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-42d82e33-957a-4bef-8a71-5b1728d02351.json	2026-06-06T11:01:35.430269	3951	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json	2026-06-06T11:02:06.904585	3204	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d85855eb-5688-447f-be25-5c15bf83bc5d.json	2026-06-06T11:01:34.069859	1154	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-38568ba0-9687-4107-8c0f-5912e996e824.json	2026-06-06T11:01:35.606412	1071	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json	2026-06-06T11:02:06.172414	1639	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-create-kiralover-state-report-fidelity.json	2026-06-06T11:02:42.318549	2233	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json	2026-06-06T11:01:36.029565	1419	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-00636b15-3313-4bd5-8a0c-002272d04d33.json	2026-06-06T11:02:03.831020	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-04c3a839-2c0f-44ce-a14e-58f6ed888979.json	2026-06-06T11:02:04.341445	1357	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json	2026-06-06T11:02:04.710605	3915	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-388f9e99-77cc-4d42-88be-b98d98b26b20.json	2026-06-06T11:01:36.750344	3313	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-2b3fc385-f041-4542-965a-336e9303f979.json	2026-06-06T11:02:06.700481	2938	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-4ff5-419c-a9d6-e4434d23ee40.json	2026-06-06T11:02:02.927222	3082	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-232ed348-63ff-4c45-a112-bbb534fcc2c0.json	2026-06-06T11:02:05.803622	1594	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-49869d1d-b431-40de-8278-a733093ef6eb.json	2026-06-06T11:01:35.102905	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d6858421-73a8-4e14-acaf-333bffcd8c88.json	2026-06-06T11:02:04.172481	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-8c83fc86-84c8-4825-a46b-24e0dd923633.json	2026-06-06T11:02:05.409655	3187	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json	2026-06-06T11:01:33.776916	4497	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-deda882a-dfdc-464f-93ba-75ba643e3b22.json	2026-06-06T11:02:03.283586	2505	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-941afb57-2d5e-4d39-9367-3d6b5b61a2a1.json	2026-06-06T11:02:07.088256	1771	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-3bc3be34-after-reply.json	2026-06-06T11:03:23.872815	3082	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-42d82e33-957a-4bef-8a71-5b1728d02351.json	2026-06-06T11:01:35.259135	1531	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-38568ba0-9687-4107-8c0f-5912e996e824.json	2026-06-06T11:01:35.849401	1605	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d85855eb-5688-447f-be25-5c15bf83bc5d.json	2026-06-06T11:01:34.715159	1588	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-2fa5407c-b5ef-489f-9fad-16b40a3d6b9e.json	2026-06-06T11:02:06.342825	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-1ae5a1ba-c649-4544-b87f-2d19306fcc68.json	2026-06-06T11:01:36.201169	1855	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-00636b15-3313-4bd5-8a0c-002272d04d33.json	2026-06-06T11:02:03.645477	3022	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-cb29a27a-f35f-4149-8e6b-13bc3273e07d.json	2026-06-06T11:02:04.899908	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-04c3a839-2c0f-44ce-a14e-58f6ed888979.json	2026-06-06T11:02:04.531447	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-3bc3be34-after-reply-new.json	2026-06-06T11:03:24.166962	1676	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-fab8caa4-2086-46f3-8852-a01b9276edcb.json	2026-06-06T11:02:05.229534	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/feed-new.json	2026-06-06T11:01:33.122108	21093	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-d8fd30d9-777b-4ba8-877e-097023322794.json	2026-06-06T11:01:36.553212	1792	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/notifications.json	2026-06-06T11:01:31.986212	125578	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-82fcbca3-0b53-4041-87c6-2e1d8c094bda.json	2026-06-06T11:01:37.137407	1699	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-49869d1d-b431-40de-8278-a733093ef6eb.json	2026-06-06T11:01:34.886773	1406	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-d6858421-73a8-4e14-acaf-333bffcd8c88.json	2026-06-06T11:02:04.004067	1757	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comment-verify-kiralover-state-report-fidelity.json	2026-06-06T11:02:57.796446	284	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/comments-8c83fc86-84c8-4825-a46b-24e0dd923633.json	2026-06-06T11:02:05.606503	119	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/post-acc26666-076c-4eb7-b8a4-b7d68e4d0c33.json	2026-06-06T11:01:33.588524	1972	stale watcher artifact
Outputs/moltbook/2026-06-06-1100-edt-reading-pulse-run/reply-kiralover-state-report-fidelity.txt	2026-06-06T11:02:41.941770	784	stale watcher artifact
